Day;Month;Player;Mission;TimeToFinishMission;;
7;9;5;12;7.528199;;
9;9;1;1;94.29617;;
9;9;2;1;0.5944024;;
9;9;2;2;16.59975;;
9;9;2;3;56.37402;;
9;9;2;4;19.80973;;
9;9;2;5;50.39458;;
9;9;2;6;10.46341;;
9;9;2;7;22.03018;;
9;9;2;8;18.61881;;
9;9;2;9;52.97392;;
9;9;2;10;13.39044;;
9;9;2;11;15.42509;;
9;9;2;12;33.64933;;
9;9;3;1;7.267889;;
9;9;3;2;5.46357;;
9;9;3;3;1.666153;;
9;9;3;4;72.85194;;
9;9;3;5;7.887718;;
9;9;3;6;23.01625;;
9;9;3;7;1.754484;;
9;9;3;8;24.3491;;
9;9;3;9;21.18096;;
9;9;3;10;8.448442;;
9;9;3;11;16.03585;;
9;9;3;12;0.0249326;;
9;9;4;1;11.31163;;
9;9;4;2;20.94017;;
9;9;4;3;7.561744;;
9;9;4;5;13.46982;;
9;9;4;6;8.224447;;
9;9;4;7;36.5695;;
9;9;4;8;27.00942;;
9;9;4;9;14.63439;;
9;9;4;10;9.604053;;
9;9;4;11;3.482506;;
9;9;4;12;41.6979;;
9;9;5;1;4.317142;;
9;9;5;2;6.91227;;
9;9;5;3;25.69554;;
9;9;5;4;5.678471;;
9;9;5;5;12.68752;;
9;9;5;6;6.694958;;
9;9;5;7;10.36187;;
9;9;5;8;9.038044;;
9;9;5;9;11.71933;;
9;9;5;10;48.63516;;
9;9;5;11;17.34972;;
9;9;5;12;19.71622;;
14;9;1;1;9.10168;;
14;9;1;2;8.365317;;
14;9;1;3;20.18576;;
14;9;1;4;16.3668;;
14;9;1;5;5.653145;;
14;9;1;6;12.12765;;
14;9;1;7;6.032655;;
14;9;1;8;3.819069;;
14;9;1;9;13.26753;;
14;9;1;10;9.100692;;
14;9;1;11;71.12217;;
14;9;1;12;48.67522;;
14;9;2;1;9.594324;;
14;9;2;2;27.39081;;
14;9;2;3;6.765199;;
14;9;2;4;10.79602;;
14;9;2;5;15.7775;;
14;9;2;6;18.16843;;
14;9;2;7;2.999391;;
14;9;2;8;7.338286;;
14;9;2;9;7.352923;;
14;9;2;10;5.203604;;
14;9;2;11;19.90245;;
14;9;2;12;18.85161;;
14;9;4;1;5.118577;;
14;9;4;2;12.61965;;
14;9;4;3;9.049421;;
14;9;4;4;69.51315;;
14;9;4;5;8.648165;;
14;9;4;6;4.808387;;
14;9;4;7;31.58887;;
14;9;4;8;14.14614;;
14;9;4;9;4.01673;;
14;9;4;10;48.35326;;
14;9;4;11;17.01335;;
14;9;4;12;8.003575;;
16;9;4;1;37.50469;;
16;9;4;2;9.51055;;
16;9;4;3;14.64278;;
16;9;4;4;23.1067;;
16;9;4;5;38.34463;;
16;9;4;6;12.20596;;
16;9;4;7;29.89426;;
16;9;4;8;23.08683;;
14;9;3;1;14.32288;;
14;9;3;2;79.64551;;
14;9;3;3;69.64922;;
14;9;3;4;96.63264;;
14;9;3;5;41.08793;;
14;9;3;6;26.872;;
14;9;3;7;25.19396;;
14;9;3;8;19.58851;;
